SalesOrderID,CustomerID,SalesPersonID,TerritoryID,TotalDue
43659,29825,279,5,23153.2339
43660,29672,279,5,1457.3288
43661,29734,282,6,36865.8012
43662,29994,282,6,32474.9324
43663,29565,276,4,472.3108
43664,29898,280,1,27510.4109
43665,29580,283,1,16158.6961
43666,30052,276,4,5694.8564
43667,29974,277,3,6876.3649
43668,29614,282,6,40487.7233
43669,29747,283,1,807.2585
43670,29566,275,3,6893.2549
43671,29890,283,1,9153.6054
43672,30067,282,6,6895.4100
43673,29844,275,2,4216.0258
43674,29596,282,6,2955.0542
43675,29827,277,3,6434.0848
43676,29811,275,5,15992.7446
43677,29824,278,6,8773.6810
43678,29889,281,4,11036.3964
43679,29761,278,6,1481.1742
43680,29489,281,4,12832.9009
43681,29661,279,5,15524.0686
43682,29759,275,2,4363.7107
43683,29497,283,1,48204.0662
43684,29912,279,5,6301.6258
43685,30084,279,5,3082.0191
43686,29606,283,1,3899.6756
43687,29610,275,2,1416.9322
43688,29718,275,2,14323.1194
43689,29646,277,4,38291.2063
43690,29533,275,3,1460.6061
43691,29570,277,4,985.0180
43692,29992,281,4,43362.4196
43693,29491,275,5,23126.4500
43694,29549,279,5,23242.1865
43695,29958,279,5,44344.8265
43696,29849,279,5,472.3108
43697,21768,,6,3953.9884
43698,28389,,7,3756.9890
43699,25863,,1,3756.9890
43700,14501,,4,772.5036
43701,11003,,9,3756.9890
43702,27645,,4,3953.9884
43703,16624,,9,3953.9884
43704,11005,,9,3729.3640
43705,11011,,9,3756.9890
43706,27621,,4,3953.9884
43707,27616,,4,3953.9884
43708,20042,,10,772.5036
43709,16351,,9,3953.9884
43710,16517,,9,3953.9884
43711,27606,,1,3953.9884
43712,13513,,8,3953.9884
43713,27601,,4,3953.9884
43714,13591,,10,3953.9884
43715,16483,,9,3953.9884
43716,16529,,9,3953.9884
43717,25249,,9,772.5036
43718,27668,,1,3953.9884
43719,27612,,4,3953.9884
43720,13264,,8,3953.9884
43721,13590,,10,3953.9884
43722,13581,,10,3953.9884
43723,14520,,1,772.5036
43724,16520,,9,3953.9884
43725,13258,,8,3953.9884
43726,14560,,4,772.5036
43727,16607,,9,3953.9884
43728,27666,,4,3953.9884
43729,11238,,10,3756.9890
43730,25861,,4,3756.9890
43731,16629,,9,3953.9884
43732,11025,,9,3729.3640
43733,27577,,1,3953.9884
43734,27604,,1,3953.9884
43735,16522,,9,3953.9884
43736,11002,,9,3756.9890
43737,13261,,8,3953.9884
43738,11606,,7,3953.9884
43739,13563,,10,3953.9884
43740,16527,,9,3953.9884
43741,27671,,1,3953.9884
43742,13576,,10,3953.9884
43743,11007,,9,3756.9890
43744,16631,,9,3953.9884
43745,16514,,9,3953.9884
43746,16616,,9,3953.9884
43747,27623,,4,3953.9884
43748,27625,,1,3953.9884
43749,27636,,1,3953.9884
43750,11591,,7,3953.9884
43751,11592,,7,3953.9884
43752,13265,,8,3953.9884
43753,16482,,9,3953.9884
43754,27617,,1,3953.9884
43755,27670,,4,3953.9884
43756,19941,,10,772.5036
43757,11017,,9,3729.3640
43758,27646,,4,3953.9884
43759,13257,,8,3953.9884
43760,16352,,9,3953.9884
43761,16493,,9,3953.9884
43762,27578,,4,3953.9884
43763,16525,,9,3953.9884
43764,16612,,9,3953.9884
43765,11010,,9,3756.9890
43766,16518,,9,3953.9884
43767,11001,,9,3729.3640
43768,27649,,1,3953.9884
43769,21659,,6,3953.9884
43770,27614,,1,3953.9884
43771,14559,,4,772.5036
43772,16524,,9,3953.9884
43773,16526,,9,3953.9884
43774,16348,,9,3953.9884
43775,11027,,9,3756.9890
43776,13260,,8,3953.9884
43777,16515,,9,3953.9884
43778,11018,,9,3756.9890
43779,25252,,9,772.5036
43780,11599,,7,3953.9884
43781,16495,,9,3953.9884
43782,16516,,9,3953.9884
43783,16620,,9,3953.9884
43784,27667,,4,3953.9884
43785,11601,,7,3953.9884
43786,11607,,7,3953.9884
43787,29385,,8,3756.9890
43788,11239,,10,3729.3640
43789,25865,,1,3729.3640
43790,25857,,1,3756.9890
43791,16484,,9,3953.9884
43792,16623,,9,3953.9884
43793,11000,,9,3756.9890
43794,11029,,9,3756.9890
43795,27615,,4,3953.9884
43796,17956,,7,772.5036
43797,16345,,9,3953.9884
43798,16521,,9,3953.9884
43799,16636,,9,3953.9884
43800,21710,,6,3953.9884
43801,13583,,10,3953.9884
43802,11593,,7,3953.9884
43803,21741,,6,3953.9884
43804,13585,,10,3953.9884
43805,14510,,1,772.5036
43806,16523,,9,3953.9884
43807,11611,,7,3953.9884
43808,13259,,8,3953.9884
43809,16350,,9,3953.9884
43810,11004,,9,3756.9890
43811,11026,,9,3756.9890
43812,27662,,4,3953.9884
43813,28390,,7,3729.3640
43814,25866,,1,3729.3640
43815,16494,,9,3953.9884
43816,16496,,9,3953.9884
43817,16519,,9,3953.9884
43818,16528,,9,3953.9884
43819,11006,,9,3756.9890
43820,27651,,4,3953.9884
43821,27663,,4,3953.9884
43822,27669,,4,3953.9884
43823,19942,,10,772.5036
43824,14558,,1,772.5036
43825,16349,,9,3953.9884
43826,11008,,9,3729.3640
43827,25250,,9,772.5036
43828,27605,,1,3953.9884
43829,27611,,4,3953.9884
43830,16347,,9,3953.9884
43831,11028,,9,3729.3640
43832,13584,,10,3953.9884
43833,21727,,6,3953.9884
43834,28393,,7,3729.3640
43835,19802,,6,3729.3640
43836,26620,,6,772.5036
43837,11009,,9,3729.3640
43838,27641,,4,3953.9884
43839,27673,,1,3953.9884
43840,17957,,7,772.5036
43841,13406,,8,3953.9884
43842,16630,,9,3953.9884
43843,29955,275,3,37106.2915
43844,29620,282,6,22801.4324
43845,29888,279,5,9661.1367
43846,29548,278,6,1038.5162
43847,29539,278,6,1022.9155
43848,29717,283,1,20571.9592
43849,29818,274,1,23130.2957
43850,29892,282,6,11473.9009
43851,29509,275,2,7638.8584
43852,29855,282,6,2280.1432
43853,29813,282,6,29675.6422
43854,29988,282,6,1970.0360
43855,29946,278,6,12382.9248
43856,29680,282,6,2292.8400
43857,30074,282,6,8090.9178
43858,29961,275,2,15423.0001
43859,29865,276,4,4404.1073
43860,29773,280,1,12381.0798
43861,29749,279,5,26346.8927
43862,29945,279,5,34922.3602
43863,29764,277,4,1935.4159
43864,30056,276,4,43335.7219
43865,30117,277,4,14860.6446
43866,29571,280,1,4589.8732
43867,29582,280,1,36806.4892
43868,30042,282,6,2417.4793
43869,30107,276,1,55408.1581
43870,29675,275,2,4859.8668
43871,30076,281,3,10580.0803
43872,30100,276,4,13042.6279
43873,29703,276,4,46465.9531
43874,29569,277,3,472.3108
43875,29624,279,5,137343.2877
43876,30091,275,2,8036.8834
43877,29925,280,1,23223.5397
43878,29664,275,2,4594.0664
43879,29510,282,6,24459.1140
43880,29789,278,6,17433.1351
43881,30111,277,3,43706.8175
43882,29558,282,6,2280.1432
43883,29724,275,2,20634.6499
43884,29861,277,3,130416.4829
43885,29757,276,4,76.1805
43886,29698,282,6,19543.3150
43887,29493,279,5,472.3108
43888,29794,282,6,16255.1776
43889,29830,278,6,2344.3852
43890,29515,278,6,84686.9878
43891,29807,282,6,36672.3922
43892,29716,281,4,18627.7044
43893,29905,282,6,472.3108
43894,30004,280,1,36585.9040
43895,29742,280,1,36556.8816
43896,29866,277,4,4891.9878
43897,29522,276,4,57683.2312
43898,29705,278,6,57391.4284
43899,29906,277,3,13449.1563
43900,29880,279,5,38990.6256
43901,29901,276,4,25575.0000
43902,29507,279,5,59486.4175
43903,29968,279,5,22.3061
43904,30095,277,4,12796.5962
43905,29846,279,5,11128.3803
43906,29523,277,4,37121.6273
43907,29791,275,2,16508.0083
43908,29731,275,2,2884.8375
43909,29787,283,1,28723.5473
43910,29963,279,5,21862.8919
43911,29617,280,1,22224.2255
43912,29853,276,4,14730.6466
43913,29774,277,4,41347.1129
43914,29521,281,1,9179.7465
43915,29688,275,3,4560.2864
43916,29511,276,3,44423.5959
43917,29885,283,1,24047.8587
43918,22041,,6,3953.9884
43919,12124,,7,3953.9884
43920,28066,,4,3953.9884
43921,16743,,9,3953.9884
43922,13546,,8,3953.9884
43923,28018,,4,3953.9884
43924,12132,,7,3953.9884
43925,16661,,9,3953.9884
43926,11055,,9,3729.3640
43927,16662,,9,3953.9884
43928,16740,,9,3953.9884
43929,25270,,9,772.5036
43930,28038,,4,3953.9884
43931,13548,,8,3953.9884
43932,16741,,9,3953.9884
43933,11031,,9,3756.9890
43934,11034,,9,3756.9890
43935,20048,,10,772.5036
43936,28065,,4,3953.9884
43937,17047,,9,3953.9884
43938,16686,,9,3953.9884
43939,16659,,9,3953.9884
43940,25294,,9,772.5036
43941,13600,,10,3953.9884
43942,17051,,9,3953.9884
43943,14565,,4,772.5036
43944,11054,,9,3756.9890
43945,16675,,9,3953.9884
43946,16687,,9,3953.9884
43947,16712,,9,3953.9884
43948,11047,,9,3756.9890
43949,27726,,4,3953.9884
43950,28014,,4,3953.9884
43951,16696,,9,3953.9884
43952,16639,,9,3953.9884
43953,20049,,10,772.5036
43954,13602,,10,3953.9884
43955,13661,,10,3953.9884
43956,11030,,9,3756.9890
43957,28068,,4,3953.9884
43958,16658,,9,3953.9884
43959,11035,,9,3729.3640
43960,11046,,9,3729.3640
43961,28031,,4,3953.9884
43962,28076,,4,3953.9884
43963,16685,,9,3953.9884
43964,16745,,9,3953.9884
43965,11038,,9,3729.3640
43966,11039,,9,3756.9890
43967,28040,,1,3953.9884
43968,28067,,4,3953.9884
43969,28071,,4,3953.9884
43970,16684,,9,3953.9884
43971,16657,,9,3953.9884
43972,21939,,6,3953.9884
43973,28039,,4,3953.9884
43974,13687,,10,3953.9884
43975,13540,,8,3953.9884
43976,28063,,4,3953.9884
43977,16703,,9,3953.9884
43978,28030,,1,3953.9884
43979,14576,,1,772.5036
