SalesOrderID,CustomerID,SalesPersonID,TerritoryID
43659,29825,279,5
43660,29672,279,5
43661,29734,282,6
43662,29994,282,6
43663,29565,276,4
43664,29898,280,1
43665,29580,283,1
43666,30052,276,4
43667,29974,277,3
43668,29614,282,6
43669,29747,283,1
43670,29566,275,3
43671,29890,283,1
43672,30067,282,6
43673,29844,275,2
43674,29596,282,6
43675,29827,277,3
43676,29811,275,5
43677,29824,278,6
43678,29889,281,4
43679,29761,278,6
43680,29489,281,4
43681,29661,279,5
43682,29759,275,2
43683,29497,283,1
43684,29912,279,5
43685,30084,279,5
43686,29606,283,1
43687,29610,275,2
43688,29718,275,2
43689,29646,277,4
43690,29533,275,3
43691,29570,277,4
43692,29992,281,4
43693,29491,275,5
43694,29549,279,5
43695,29958,279,5
43696,29849,279,5
43697,21768,,6
43698,28389,,7
43699,25863,,1
43700,14501,,4
43701,11003,,9
43702,27645,,4
43703,16624,,9
43704,11005,,9
43705,11011,,9
43706,27621,,4
43707,27616,,4
43708,20042,,10
43709,16351,,9
43710,16517,,9
43711,27606,,1
43712,13513,,8
43713,27601,,4
43714,13591,,10
43715,16483,,9
43716,16529,,9
43717,25249,,9
43718,27668,,1
43719,27612,,4
43720,13264,,8
43721,13590,,10
43722,13581,,10
43723,14520,,1
43724,16520,,9
43725,13258,,8
43726,14560,,4
43727,16607,,9
43728,27666,,4
43729,11238,,10
43730,25861,,4
43731,16629,,9
43732,11025,,9
43733,27577,,1
43734,27604,,1
43735,16522,,9
43736,11002,,9
43737,13261,,8
43738,11606,,7
43739,13563,,10
43740,16527,,9
43741,27671,,1
43742,13576,,10
43743,11007,,9
43744,16631,,9
43745,16514,,9
43746,16616,,9
43747,27623,,4
43748,27625,,1
43749,27636,,1
43750,11591,,7
43751,11592,,7
43752,13265,,8
43753,16482,,9
43754,27617,,1
43755,27670,,4
43756,19941,,10
43757,11017,,9
43758,27646,,4
43759,13257,,8
43760,16352,,9
43761,16493,,9
43762,27578,,4
43763,16525,,9
43764,16612,,9
43765,11010,,9
43766,16518,,9
43767,11001,,9
43768,27649,,1
43769,21659,,6
43770,27614,,1
43771,14559,,4
43772,16524,,9
43773,16526,,9
43774,16348,,9
43775,11027,,9
43776,13260,,8
43777,16515,,9
43778,11018,,9
43779,25252,,9
43780,11599,,7
43781,16495,,9
43782,16516,,9
43783,16620,,9
43784,27667,,4
43785,11601,,7
43786,11607,,7
43787,29385,,8
43788,11239,,10
43789,25865,,1
43790,25857,,1
43791,16484,,9
43792,16623,,9
43793,11000,,9
43794,11029,,9
43795,27615,,4
43796,17956,,7
43797,16345,,9
43798,16521,,9
43799,16636,,9
43800,21710,,6
43801,13583,,10
43802,11593,,7
43803,21741,,6
43804,13585,,10
43805,14510,,1
43806,16523,,9
43807,11611,,7
43808,13259,,8
43809,16350,,9
43810,11004,,9
43811,11026,,9
43812,27662,,4
43813,28390,,7
43814,25866,,1
43815,16494,,9
43816,16496,,9
43817,16519,,9
43818,16528,,9
43819,11006,,9
43820,27651,,4
43821,27663,,4
43822,27669,,4
43823,19942,,10
43824,14558,,1
43825,16349,,9
43826,11008,,9
43827,25250,,9
43828,27605,,1
43829,27611,,4
43830,16347,,9
43831,11028,,9
43832,13584,,10
43833,21727,,6
43834,28393,,7
43835,19802,,6
43836,26620,,6
43837,11009,,9
43838,27641,,4
43839,27673,,1
43840,17957,,7
43841,13406,,8
43842,16630,,9
43843,29955,275,3
43844,29620,282,6
43845,29888,279,5
43846,29548,278,6
43847,29539,278,6
43848,29717,283,1
43849,29818,274,1
43850,29892,282,6
43851,29509,275,2
43852,29855,282,6
43853,29813,282,6
43854,29988,282,6
43855,29946,278,6
43856,29680,282,6
43857,30074,282,6
43858,29961,275,2
43859,29865,276,4
43860,29773,280,1
43861,29749,279,5
43862,29945,279,5
43863,29764,277,4
43864,30056,276,4
43865,30117,277,4
43866,29571,280,1
43867,29582,280,1
43868,30042,282,6
43869,30107,276,1
43870,29675,275,2
43871,30076,281,3
43872,30100,276,4
43873,29703,276,4
43874,29569,277,3
43875,29624,279,5
43876,30091,275,2
43877,29925,280,1
43878,29664,275,2
43879,29510,282,6
43880,29789,278,6
